,time,open,close,high,low,MA10,Delta,Range,Unit Size,Tradesize,Margin Used,StratProfit,Strat_Balance,WinLoss,Win,Loss,Strat_Returns_pct,StratDrawdown,bhBalance,bhDrawdown,bhreturnpct
58,2010-07-30 21:00:00+00:00,1.30521,1.30516,1.30521,1.30516,1.302284,-4.999999999988347e-05,4.999999999988347e-05,50000,65258.00000000001,1305.16,-2.4999999999941735,11707.500000000027,Loss,0.0,-2.4999999999941735,17.075000000000262,14170.499999999987,13051.6,1778.4999999999982,0.30516000000000004
59,2010-07-31 21:00:00+00:00,1.30501,1.30629,1.30647,1.30492,1.303372,0.0012799999999999478,0.0015499999999999403,50000,65314.5,1306.29,63.99999999999739,11771.500000000025,Win,63.99999999999739,0.0,17.71500000000026,14106.499999999989,13062.9,1767.199999999999,0.30628999999999995
60,2010-08-01 21:00:00+00:00,1.30633,1.31796,1.31948,1.30536,1.304708,0.01163000000000003,0.01411999999999991,50000,65898.0,1317.96,581.5000000000015,12353.000000000027,Win,581.5000000000015,0.0,23.53000000000027,13524.999999999987,13179.6,1650.4999999999982,0.31796
61,2010-08-02 21:00:00+00:00,1.31794,1.323,1.32618,1.31474,1.308374,0.0050600000000000644,0.011439999999999895,50000,66150.0,1323.0,253.0000000000032,12606.00000000003,Win,253.0000000000032,0.0,26.060000000000283,13271.999999999985,13230.0,1600.0999999999985,0.323
62,2010-08-03 21:00:00+00:00,1.32305,1.3162,1.32398,1.31318,1.311508,-0.006850000000000023,0.01079999999999992,50000,65810.0,1316.2,-342.50000000000114,12263.50000000003,Loss,0.0,-342.50000000000114,22.635000000000293,13614.499999999985,13162.0,1668.0999999999985,0.3162
63,2010-08-04 21:00:00+00:00,1.31623,1.31883,1.32356,1.31196,1.313712,0.0025999999999999357,0.011600000000000055,50000,65941.5,1318.83,129.9999999999968,12393.500000000025,Win,129.9999999999968,0.0,23.93500000000026,13484.499999999989,13188.3,1641.7999999999993,0.31882999999999995
64,2010-08-05 21:00:00+00:00,1.3188,1.32795,1.33352,1.3158,1.31647,0.009149999999999991,0.017719999999999958,50000,66397.5,1327.95,457.49999999999955,12851.000000000025,Win,457.49999999999955,0.0,28.510000000000257,13026.999999999989,13279.5,1550.5999999999985,0.32795
65,2010-08-06 21:00:00+00:00,1.328,1.328,1.328,1.328,1.320804,0.0,0.0,50000,66400.0,1328.0,0.0,12851.000000000025,Loss,0.0,0.0,28.510000000000257,13026.999999999989,13280.0,1550.0999999999985,0.328
66,2010-08-07 21:00:00+00:00,1.32823,1.32942,1.32975,1.32795,1.322862,0.0011900000000000244,0.0018000000000000238,50000,66471.0,1329.42,59.50000000000122,12910.500000000027,Win,59.50000000000122,0.0,29.10500000000027,12967.499999999987,13294.2,1535.8999999999978,0.32942000000000005
67,2010-08-08 21:00:00+00:00,1.32938,1.32216,1.33076,1.32172,1.324128,-0.007220000000000004,0.009039999999999937,50000,66108.0,1322.16,-361.0000000000002,12549.500000000025,Loss,0.0,-361.0000000000002,25.495000000000246,13328.499999999989,13221.6,1608.4999999999982,0.32216000000000006
68,2010-08-09 21:00:00+00:00,1.32219,1.31755,1.32353,1.30744,1.32532,-0.0046399999999999775,0.01609000000000016,50000,65877.5,1317.55,-231.99999999999886,12317.500000000027,Loss,0.0,-231.99999999999886,23.175000000000278,13560.499999999987,13175.5,1654.5999999999985,0.31755
76,2010-08-17 21:00:00+00:00,1.2887,1.28528,1.29222,1.28244,1.279612,-0.0034199999999999786,0.0097799999999999,50000,64264.0,1285.28,-170.99999999999892,12146.50000000003,Loss,0.0,-170.99999999999892,21.465000000000288,13731.499999999985,12852.8,1977.2999999999993,0.2852799999999999
77,2010-08-18 21:00:00+00:00,1.28515,1.28229,1.29022,1.27726,1.2815720000000002,-0.0028600000000000847,0.01295999999999986,50000,64114.5,1282.29,-143.00000000000423,12003.500000000024,Loss,0.0,-143.00000000000423,20.035000000000245,13874.49999999999,12822.9,2007.199999999999,0.28229
78,2010-08-19 21:00:00+00:00,1.28233,1.27115,1.28332,1.26634,1.282958,-0.011179999999999968,0.016979999999999995,50000,63557.5,1271.15,-558.9999999999984,11444.500000000025,Loss,0.0,-558.9999999999984,14.445000000000263,14433.499999999989,12711.5,2118.5999999999985,0.27115
86,2010-08-27 21:00:00+00:00,1.27618,1.27625,1.27625,1.27618,1.268394,7.00000000000145e-05,7.00000000000145e-05,50000,63812.50000000001,1276.2500000000002,3.5000000000007248,11448.000000000025,Win,3.5000000000007248,0.0,14.48000000000025,14429.999999999989,12762.500000000002,2067.5999999999967,0.27625000000000016
87,2010-08-28 21:00:00+00:00,1.27617,1.27613,1.27726,1.27413,1.270496,-4.0000000000040004e-05,0.003130000000000077,50000,63806.5,1276.13,-2.000000000002,11446.000000000024,Loss,0.0,-2.000000000002,14.460000000000228,14431.99999999999,12761.3,2068.7999999999993,0.27612999999999993
88,2010-08-29 21:00:00+00:00,1.2761,1.26628,1.27692,1.26596,1.273162,-0.00981999999999994,0.01096000000000008,50000,63314.0,1266.28,-490.999999999997,10955.000000000027,Loss,0.0,-490.999999999997,9.550000000000281,14922.999999999987,12662.800000000001,2167.2999999999975,0.2662800000000001
89,2010-08-30 21:00:00+00:00,1.26617,1.26799,1.27424,1.26258,1.2732459999999999,0.0018199999999999328,0.011660000000000004,50000,63399.5,1267.99,90.99999999999665,11046.000000000024,Win,90.99999999999665,0.0,10.460000000000246,14831.99999999999,12679.9,2150.199999999999,0.26798999999999995
92,2010-09-02 21:00:00+00:00,1.28241,1.2896,1.28975,1.28088,1.274742,0.00719000000000003,0.008869999999999933,50000,64480.00000000001,1289.6000000000001,359.5000000000015,11405.500000000025,Win,359.5000000000015,0.0,14.055000000000263,14472.499999999989,12896.0,1934.0999999999985,0.2896
93,2010-09-03 21:00:00+00:00,1.28955,1.28965,1.28965,1.28955,1.277432,9.999999999998899e-05,9.999999999998899e-05,50000,64482.5,1289.65,4.999999999999449,11410.500000000025,Win,4.999999999999449,0.0,14.105000000000256,14467.499999999989,12896.5,1933.5999999999985,0.28965
94,2010-09-04 21:00:00+00:00,1.28951,1.28911,1.29019,1.28852,1.2820999999999998,-0.00039999999999995595,0.0016699999999998383,50000,64455.5,1289.1100000000001,-19.999999999997797,11390.500000000027,Loss,0.0,-19.999999999997797,13.905000000000278,14487.499999999987,12891.1,1938.9999999999982,0.28911000000000003
95,2010-09-05 21:00:00+00:00,1.28906,1.28757,1.29186,1.2867,1.2863019999999998,-0.0014899999999999913,0.005160000000000053,50000,64378.50000000001,1287.5700000000002,-74.49999999999957,11316.000000000027,Loss,0.0,-74.49999999999957,13.160000000000283,14561.999999999987,12875.7,1954.3999999999978,0.28757000000000005
96,2010-09-06 21:00:00+00:00,1.28755,1.26819,1.28765,1.26776,1.287616,-0.019360000000000044,0.019889999999999963,50000,63409.5,1268.19,-968.0000000000022,10348.000000000025,Loss,0.0,-968.0000000000022,3.4800000000002607,15529.999999999989,12681.9,2148.199999999999,0.26819
103,2010-09-13 21:00:00+00:00,1.28823,1.29977,1.30332,1.28298,1.2730299999999999,0.011540000000000106,0.020340000000000025,50000,64988.50000000001,1299.7700000000002,577.0000000000052,10925.000000000031,Win,577.0000000000052,0.0,9.250000000000313,14952.999999999984,12997.7,1832.3999999999978,0.2997700000000001
104,2010-09-14 21:00:00+00:00,1.29968,1.30111,1.30372,1.29557,1.2790599999999999,0.0014300000000000423,0.00814999999999988,50000,65055.5,1301.1100000000001,71.50000000000212,10996.500000000033,Win,71.50000000000212,0.0,9.965000000000334,14881.499999999982,13011.1,1818.9999999999982,0.30111000000000004
105,2010-09-15 21:00:00+00:00,1.30114,1.30775,1.31164,1.2976,1.285658,0.006610000000000005,0.01403999999999983,50000,65387.5,1307.75,330.5000000000002,11327.000000000033,Win,330.5000000000002,0.0,13.270000000000337,14550.999999999982,13077.5,1752.5999999999985,0.30775
106,2010-09-16 21:00:00+00:00,1.30773,1.30495,1.31586,1.30202,1.2936640000000001,-0.0027800000000000047,0.013840000000000074,50000,65247.5,1304.95,-139.00000000000023,11188.000000000033,Loss,0.0,-139.00000000000023,11.880000000000335,14689.999999999982,13049.5,1780.5999999999985,0.30495
107,2010-09-17 21:00:00+00:00,1.30498,1.30518,1.30523,1.30493,1.300352,0.00019999999999997797,0.00029999999999996696,50000,65259.0,1305.18,9.999999999998899,11198.000000000031,Win,9.999999999998899,0.0,11.980000000000302,14679.999999999984,13051.8,1778.2999999999993,0.30517999999999995
108,2010-09-18 21:00:00+00:00,1.30551,1.30615,1.30693,1.30471,1.3038079999999999,0.0006399999999999739,0.0022199999999998887,50000,65307.49999999999,1306.1499999999999,31.999999999998696,11230.00000000003,Win,31.999999999998696,0.0,12.300000000000288,14647.999999999985,13061.5,1768.5999999999985,0.30615
109,2010-09-19 21:00:00+00:00,1.30612,1.30613,1.31208,1.30294,1.305096,1.0000000000065512e-05,0.009139999999999926,50000,65306.5,1306.13,0.5000000000032756,11230.500000000033,Win,0.5000000000032756,0.0,12.305000000000321,14647.499999999982,13061.3,1768.7999999999993,0.3061299999999999
110,2010-09-20 21:00:00+00:00,1.30611,1.32646,1.32864,1.30584,1.30609,0.020349999999999868,0.022800000000000153,50000,66323.0,1326.46,1017.4999999999934,12248.000000000025,Win,1017.4999999999934,0.0,22.480000000000256,13629.999999999989,13264.6,1565.4999999999982,0.32646000000000003
111,2010-09-21 21:00:00+00:00,1.3264,1.34056,1.34402,1.32484,1.309824,0.01415999999999995,0.019179999999999975,50000,67028.0,1340.56,707.9999999999975,12956.000000000024,Win,707.9999999999975,0.0,29.56000000000023,12921.99999999999,13405.6,1424.4999999999982,0.34056000000000003
112,2010-09-22 21:00:00+00:00,1.34062,1.33143,1.34145,1.33042,1.3169520000000001,-0.009190000000000031,0.011030000000000095,50000,66571.5,1331.43,-459.5000000000016,12496.500000000022,Loss,0.0,-459.5000000000016,24.965000000000217,13381.499999999993,13314.3,1515.7999999999993,0.33142999999999995
113,2010-09-23 21:00:00+00:00,1.3314,1.34913,1.34952,1.32866,1.32213,0.017730000000000024,0.0208600000000001,50000,67456.5,1349.13,886.5000000000011,13383.000000000022,Win,886.5000000000011,0.0,33.830000000000226,12494.999999999993,13491.3,1338.7999999999993,0.34912999999999994
114,2010-09-24 21:00:00+00:00,1.34922,1.34922,1.34922,1.34922,1.33075,0.0,0.0,50000,67461.0,1349.22,0.0,13383.000000000022,Loss,0.0,0.0,33.830000000000226,12494.999999999993,13492.2,1337.8999999999978,0.3492200000000001
115,2010-09-25 21:00:00+00:00,1.34922,1.34869,1.34924,1.34797,1.339372,-0.0005300000000001415,0.0012700000000001044,50000,67434.5,1348.69,-26.500000000007073,13356.500000000015,Loss,0.0,-26.500000000007073,33.565000000000154,12521.5,13486.9,1343.199999999999,0.34868999999999994
116,2010-09-26 21:00:00+00:00,1.34864,1.34544,1.35062,1.3426,1.3438199999999998,-0.0032000000000000917,0.008019999999999916,50000,67272.0,1345.44,-160.00000000000458,13196.500000000011,Loss,0.0,-160.00000000000458,31.96500000000011,12681.500000000004,13454.4,1375.699999999999,0.34543999999999997
117,2010-09-27 21:00:00+00:00,1.34542,1.35853,1.35954,1.33814,1.34478,0.013109999999999955,0.021399999999999864,50000,67926.5,1358.53,655.4999999999977,13852.00000000001,Win,655.4999999999977,0.0,38.52000000000009,12026.000000000005,13585.3,1244.7999999999993,0.3585299999999999
