Price,Close,High,Low,Open,Volume
Ticker,MYM=F,MYM=F,MYM=F,MYM=F,MYM=F
Date,,,,,
2021-04-09,33682.0,33694.0,33372.0,33444.0,92174
2021-04-12,33631.0,33687.0,33551.0,33659.0,69299
2021-04-13,33570.0,33711.0,33431.0,33640.0,104387
2021-04-14,33624.0,33800.0,33518.0,33571.0,103402
2021-04-15,33923.0,33962.0,33638.0,33663.0,92354
2021-04-16,34081.0,34144.0,33880.0,33934.0,88346
2021-04-19,33958.0,34048.0,33860.0,34016.0,108331
2021-04-20,33703.0,34068.0,33572.0,33984.0,117133
2021-04-21,34016.0,34041.0,33623.0,33689.0,96594
2021-04-22,33709.0,34039.0,33605.0,33998.0,109637
2021-04-23,33941.0,34056.0,33608.0,33723.0,86677
2021-04-26,33877.0,34045.0,33832.0,33924.0,60883
2021-04-27,33883.0,33974.0,33764.0,33888.0,66083
2021-04-28,33724.0,33868.0,33691.0,33817.0,72417
2021-04-29,33951.0,33978.0,33629.0,33719.0,94151
2021-04-30,33767.0,33945.0,33678.0,33905.0,88217
2021-05-03,34008.0,34116.0,33810.0,33829.0,77573
2021-05-04,34020.0,34047.0,33655.0,33995.0,135617
2021-05-05,34118.0,34220.0,33926.0,34002.0,105421
2021-05-06,34442.0,34460.0,34073.0,34117.0,122057
2021-05-07,34686.0,34741.0,34366.0,34434.0,117405
2021-05-10,34668.0,35001.0,34611.0,34711.0,110501
2021-05-11,34183.0,34731.0,33983.0,34650.0,212572
2021-05-12,33508.0,34226.0,33461.0,34148.0,207153
2021-05-13,33938.0,34093.0,33202.0,33511.0,232639
2021-05-14,34318.0,34390.0,33921.0,33944.0,126049
2021-05-17,34256.0,34372.0,34088.0,34318.0,112830
2021-05-18,33996.0,34422.0,33906.0,34300.0,98006
2021-05-19,33831.0,33998.0,33401.0,33904.0,180735
2021-05-20,34028.0,34184.0,33584.0,33808.0,111160
2021-05-21,34153.0,34369.0,34018.0,34023.0,102244
2021-05-24,34352.0,34428.0,34104.0,34147.0,70462
2021-05-25,34271.0,34483.0,34223.0,34397.0,83145
2021-05-26,34280.0,34418.0,34227.0,34288.0,70952
2021-05-27,34437.0,34576.0,34170.0,34295.0,90685
2021-05-28,34513.0,34638.0,34494.0,34557.0,61063
2021-06-01,34550.0,34827.0,34409.0,34570.0,117054
2021-06-02,34590.0,34695.0,34482.0,34556.0,82429
